CODIGO;ABRANGENCIA;NOME_ATIVO;N_MESES_TOTAL;N_MESES_AUSENTES;INTERVALOS_AUSENTES
8102005;São Paulo (RM);Livro;245;96;2012-01 a 2019-12
1106019;São Paulo (RM);Manga;324;96;2012-01 a 2019-12
4301004;São Paulo (RM);Relógio de pulso;427;96;2012-01 a 2019-12
1108008;São Paulo (RM);Peixe - namorado;96;96;2012-01 a 2019-12
7101014;São Paulo (RM);Depilação;175;96;2012-01 a 2019-12
1102040;São Paulo (RM);Massa para pastel;83;83;1999-08 a 2006-06
1101082;São Paulo (RM);Amendoim em grão;83;83;1999-08 a 2006-06
1102038;São Paulo (RM);Massa para pizza;83;83;1999-08 a 2006-06
1102028;São Paulo (RM);Cremogema;83;83;1999-08 a 2006-06
7201055;São Paulo (RM);Parque de diversões;83;83;1999-08 a 2006-06
7201066;São Paulo (RM);Aluguel de fita de vídeo-game;83;83;1999-08 a 2006-06
7201053;São Paulo (RM);Fita de vídeo-game;83;83;1999-08 a 2006-06
1101080;São Paulo (RM);Milho em espiga;83;83;1999-08 a 2006-06
1113044;São Paulo (RM);Óleo de canola;83;83;1999-08 a 2006-06
1112021;São Paulo (RM);Massa para pão de queijo;83;83;1999-08 a 2006-06
1112040;São Paulo (RM);Torta doce;83;83;1999-08 a 2006-06
1112034;São Paulo (RM);Rosca doce;83;83;1999-08 a 2006-06
3301012;São Paulo (RM);Conserto de vídeo-cassete;83;83;1999-08 a 2006-06
1114086;São Paulo (RM);Aguardente;83;83;1999-08 a 2006-06
1112051;São Paulo (RM);Pão integral;83;83;1999-08 a 2006-06
3102032;São Paulo (RM);Chupeta e bico;83;83;1999-08 a 2006-06
3102089;São Paulo (RM);Guardanapo de papel;83;83;1999-08 a 2006-06
3102070;São Paulo (RM);Espelho;83;83;1999-08 a 2006-06
3201044;São Paulo (RM);Aspirador de pó;83;83;1999-08 a 2006-06
1111025;São Paulo (RM);Queijo parmesão;83;83;1999-08 a 2006-06
3102035;São Paulo (RM);Flores naturais;179;83;1999-08 a 2006-06
5102054;São Paulo (RM);Camioneta;83;83;1999-08 a 2006-06
6101013;São Paulo (RM);Psicotrópico e anorexígeno;427;83;1999-08 a 2006-06
1104095;São Paulo (RM);Beiju;83;83;1999-08 a 2006-06
6301013;São Paulo (RM);Produto para limpeza de pele;83;83;1999-08 a 2006-06
1106009;São Paulo (RM);Caqui;83;83;1999-08 a 2006-06
1105018;São Paulo (RM);Cebolinha;83;83;1999-08 a 2006-06
7101004;São Paulo (RM);Tinturaria e lavanderia;83;83;1999-08 a 2006-06
1101021;São Paulo (RM);Coco-da-baía;83;83;1999-08 a 2006-06
9101008;São Paulo (RM);Plano de telefonia móvel;324;83;1999-08 a 2006-06
7101076;São Paulo (RM);Serviço bancário;324;83;1999-08 a 2006-06
7101038;São Paulo (RM);Serviço funerário;83;83;1999-08 a 2006-06
1104096;São Paulo (RM);Schimier de frutas;83;83;1999-08 a 2006-06
6101064;São Paulo (RM);Antidiabético;162;83;1999-08 a 2006-06
6101009;São Paulo (RM);Gastroprotetor;427;83;1999-08 a 2006-06
1105008;São Paulo (RM);Mostarda;83;83;1999-08 a 2006-06
5102005;São Paulo (RM);Seguro voluntário de veículo;324;83;1999-08 a 2006-06
