"Tabela 651 - INPC - Variação acumulada no ano, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de agosto/1999 até junho/2006)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112018.Pão de forma";"4,82";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112019.Bolo";"4,85";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112021.Massa para pão de queijo";"-0,51";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112025.Pão de queijo";"-0,11";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112034.Rosca doce";"-0,35";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112040.Torta doce";"-0,44";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1112051.Pão integral";"0,25";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1113.Óleos e gorduras";"3,40";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1113013.Óleo de soja";"0,23";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1113014.Azeite de oliva";"-0,89";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1113040.Margarina vegetal";"10,81";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1113044.Óleo de canola";"-2,21";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114.Bebidas e infusões";"7,75";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114001.Suco de frutas";"1,51";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114004.Polpa de açaí";"-3,53";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114022.Café moído";"12,78";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114023.Café solúvel";"8,28";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114029.Mate";"9,58";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114083.Refrigerante";"1,56";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114084.Cerveja";"7,23";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114085.Outras bebidas alcoólicas";"11,03";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114086.Aguardente";"0,53";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1114087.Vinho";"16,73";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1115.Enlatados e conservas";"16,31";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1115004.Coco ralado";"21,09";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1115006.Ervilha em lata";"6,76";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1115008.Feijoada em lata";"-0,04";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1115013.Sopa infantil";"-2,97";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1115016.Palmito em conserva";"8,00";"%"
"BR";"1";"Brasil";"INPC - Variação acumulada no ano";"agosto 1999";"1115039.Sardinha em lata";"24,61";"%"
