"Tabela 2951 - INPC - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Variável";"Mês";"Geral, grupo, subgrupo, item e subitem";""
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3.Artigos de residência";"0,05";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"31.Móveis e utensílios";"0,42";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3101.Mobiliário";"0,52";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3101002.Móvel para sala";"0,75";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3101003.Móvel para quarto";"0,99";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3101015.Móvel para copa e cozinha";"-0,85";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3101017.Colchão";"-0,47";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3101060.Rede";"-0,20";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3102.Utensílios e enfeites";"-0,27";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3102005.Tapete";"0,48";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3102006.Cortina";"-0,32";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3102007.Utensílios para copa e cozinha de metal";"0,21";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3102009.Utensílios para copa e cozinha de vidro e louça";"0,37";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3102010.Utensílios de plástico";"-0,69";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3102040.Utensílios diversos";"-1,22";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3103.Cama, mesa e banho";"1,00";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3103001.Roupa de cama";"0,94";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3103002.Roupa de mesa";"2,02";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3103003.Roupa de banho";"1,07";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"32.Aparelhos eletroeletrônicos";"-0,31";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3201.Eletrodomésticos e equipamentos";"-0,01";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3201001.Refrigerador";"0,13";"%"
"BR";"1";"Brasil";"INPC - Variação mensal";"julho 2006";"3201002.Condicionador de ar";"-0,32";"%"
