"Tabela 7063 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Geral, grupo, subgrupo, item e subitem";"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Variável";""
"Índice geral";"RM";"3501";"São Paulo (SP)";"agosto 2024";"INPC - Variação mensal";"-0,06";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"setembro 2024";"INPC - Variação mensal";"0,44";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"outubro 2024";"INPC - Variação mensal";"0,87";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"novembro 2024";"INPC - Variação mensal";"0,24";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"dezembro 2024";"INPC - Variação mensal";"0,43";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"janeiro 2025";"INPC - Variação mensal";"-0,18";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"fevereiro 2025";"INPC - Variação mensal";"1,55";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"março 2025";"INPC - Variação mensal";"0,63";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"abril 2025";"INPC - Variação mensal";"0,60";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"maio 2025";"INPC - Variação mensal";"0,19";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"junho 2025";"INPC - Variação mensal";"0,35";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"julho 2025";"INPC - Variação mensal";"0,56";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"agosto 2025";"INPC - Variação mensal";"-0,09";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"setembro 2025";"INPC - Variação mensal";"0,75";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"outubro 2025";"INPC - Variação mensal";"-0,09";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"novembro 2025";"INPC - Variação mensal";"0,16";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"dezembro 2025";"INPC - Variação mensal";"0,03";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"janeiro 2026";"INPC - Variação mensal";"0,41";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"fevereiro 2026";"INPC - Variação mensal";"0,78";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"março 2026";"INPC - Variação mensal";"0,72";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"abril 2026";"INPC - Variação mensal";"0,69";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"maio 2026";"INPC - Variação mensal";"0,62";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"junho 2026";"INPC - Variação mensal";"-0,07";"%"
"Índice geral";"RM";"3501";"São Paulo (SP)";"julho 2026";"INPC - Variação mensal";"0,28";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"janeiro 2020";"INPC - Variação mensal";"0,45";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"fevereiro 2020";"INPC - Variação mensal";"0,13";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"março 2020";"INPC - Variação mensal";"1,12";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"abril 2020";"INPC - Variação mensal";"1,91";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"maio 2020";"INPC - Variação mensal";"0,40";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"junho 2020";"INPC - Variação mensal";"0,37";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"julho 2020";"INPC - Variação mensal";"0,14";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"agosto 2020";"INPC - Variação mensal";"0,80";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"setembro 2020";"INPC - Variação mensal";"2,63";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"outubro 2020";"INPC - Variação mensal";"2,11";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"novembro 2020";"INPC - Variação mensal";"2,65";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"dezembro 2020";"INPC - Variação mensal";"1,86";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"janeiro 2021";"INPC - Variação mensal";"1,01";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"fevereiro 2021";"INPC - Variação mensal";"0,17";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"março 2021";"INPC - Variação mensal";"0,07";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"abril 2021";"INPC - Variação mensal";"0,49";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"maio 2021";"INPC - Variação mensal";"0,53";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"junho 2021";"INPC - Variação mensal";"0,47";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"julho 2021";"INPC - Variação mensal";"0,66";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"agosto 2021";"INPC - Variação mensal";"1,29";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"setembro 2021";"INPC - Variação mensal";"0,94";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"outubro 2021";"INPC - Variação mensal";"1,10";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"novembro 2021";"INPC - Variação mensal";"-0,03";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"dezembro 2021";"INPC - Variação mensal";"0,76";"%"
"1.Alimentação e bebidas";"BR";"1";"Brasil";"janeiro 2022";"INPC - Variação mensal";"1,08";"%"
