"Tabela 1100 - INPC - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Nível";"Cód.";"Brasil e Região Metropolitana até 2020";"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável";""
"BR";"1";"Brasil";"janeiro 2012";"1110009.Frango inteiro";"INPC - Variação mensal";"0,13";"%"
"BR";"1";"Brasil";"janeiro 2012";"1110010.Frango em pedaços";"INPC - Variação mensal";"-0,10";"%"
"BR";"1";"Brasil";"janeiro 2012";"1110044.Ovo de galinha";"INPC - Variação mensal";"-0,42";"%"
"BR";"1";"Brasil";"janeiro 2012";"1111.Leites e derivados";"INPC - Variação mensal";"-0,15";"%"
"BR";"1";"Brasil";"janeiro 2012";"1111004.Leite longa vida";"INPC - Variação mensal";"-1,12";"%"
"BR";"1";"Brasil";"janeiro 2012";"1111008.Leite condensado";"INPC - Variação mensal";"-0,38";"%"
"BR";"1";"Brasil";"janeiro 2012";"1111009.Leite em pó";"INPC - Variação mensal";"-0,17";"%"
"BR";"1";"Brasil";"janeiro 2012";"1111011.Queijo";"INPC - Variação mensal";"1,79";"%"
"BR";"1";"Brasil";"janeiro 2012";"1111012.Creme de leite";"INPC - Variação mensal";"0,93";"%"
"BR";"1";"Brasil";"janeiro 2012";"1111019.Iogurte e bebidas lácteas";"INPC - Variação mensal";"0,98";"%"
"BR";"1";"Brasil";"janeiro 2012";"1111031.Manteiga";"INPC - Variação mensal";"2,01";"%"
"BR";"1";"Brasil";"janeiro 2012";"1111051.Leite com sabor";"INPC - Variação mensal";"0,31";"%"
"BR";"1";"Brasil";"janeiro 2012";"1112.Panificados";"INPC - Variação mensal";"-0,27";"%"
"BR";"1";"Brasil";"janeiro 2012";"1112003.Biscoito";"INPC - Variação mensal";"-0,35";"%"
"BR";"1";"Brasil";"janeiro 2012";"1112015.Pão francês";"INPC - Variação mensal";"-0,45";"%"
"BR";"1";"Brasil";"janeiro 2012";"1112017.Pão doce";"INPC - Variação mensal";"-0,19";"%"
"BR";"1";"Brasil";"janeiro 2012";"1112018.Pão de forma";"INPC - Variação mensal";"1,17";"%"
"BR";"1";"Brasil";"janeiro 2012";"1112019.Bolo";"INPC - Variação mensal";"0,91";"%"
"BR";"1";"Brasil";"janeiro 2012";"1112025.Pão de queijo";"INPC - Variação mensal";"0,91";"%"
"BR";"1";"Brasil";"janeiro 2012";"1113.Óleos e gorduras";"INPC - Variação mensal";"0,42";"%"
"BR";"1";"Brasil";"janeiro 2012";"1113013.Óleo de soja";"INPC - Variação mensal";"0,14";"%"
"BR";"1";"Brasil";"janeiro 2012";"1113014.Azeite de oliva";"INPC - Variação mensal";"-0,76";"%"
"BR";"1";"Brasil";"janeiro 2012";"1113040.Margarina";"INPC - Variação mensal";"1,03";"%"
"BR";"1";"Brasil";"janeiro 2012";"1114.Bebidas e infusões";"INPC - Variação mensal";"0,68";"%"
"BR";"1";"Brasil";"janeiro 2012";"1114001.Suco de frutas";"INPC - Variação mensal";"0,09";"%"
"BR";"1";"Brasil";"janeiro 2012";"1114004.Açaí (emulsão)";"INPC - Variação mensal";"2,38";"%"
"BR";"1";"Brasil";"janeiro 2012";"1114022.Café moído";"INPC - Variação mensal";"1,91";"%"
"BR";"1";"Brasil";"janeiro 2012";"1114023.Café solúvel";"INPC - Variação mensal";"0,77";"%"
"BR";"1";"Brasil";"janeiro 2012";"1114029.Chá";"INPC - Variação mensal";"2,20";"%"
"BR";"1";"Brasil";"janeiro 2012";"1114083.Refrigerante e água mineral";"INPC - Variação mensal";"0,27";"%"
"BR";"1";"Brasil";"janeiro 2012";"1114084.Cerveja";"INPC - Variação mensal";"-0,17";"%"
"BR";"1";"Brasil";"janeiro 2012";"1114085.Outras bebidas alcoólicas";"INPC - Variação mensal";"1,07";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115.Enlatados e conservas";"INPC - Variação mensal";"1,74";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115004.Coco ralado";"INPC - Variação mensal";"-0,11";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115006.Ervilha em conserva";"INPC - Variação mensal";"2,67";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115008.Feijoada em conserva";"INPC - Variação mensal";"3,62";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115016.Palmito em conserva";"INPC - Variação mensal";"...";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115017.Pepino em conserva";"INPC - Variação mensal";"1,99";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115039.Sardinha em conserva";"INPC - Variação mensal";"3,91";"%"
"BR";"1";"Brasil";"janeiro 2012";"1115050.Salsicha em conserva";"INPC - Variação mensal";"-2,85";"%"
